CommentFileRelation/\org.eclipse.jdt.compiler.tool.tests/src/org/eclipse/jdt/compiler/tool/tests/CompilerToolTests.java/\Thomas Wolf/\Thomas Wolf/\163738/\c47c6f51e82b808d03b68bf04ad8e0fbc3cd48b7
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/preferences/JavaEditorHoverConfigurationBlock.java/\Carsten Hammer/\Simeon Andreev/\164303/\55d02dbfd01989fc1090b8598824d72b6890a14b
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/preferences/JavaEditorHoverConfigurationBlock.java/\Carsten Hammer/\Carsten Hammer/\164303/\55d02dbfd01989fc1090b8598824d72b6890a14b
CommentFileRelation/\org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/dom/ASTConverter14Test.java/\Kalyan Prasad Tatavarthi/\Sarika Sinha/\165196/\9e1754f48e07ade358e5c799a1164294fa94f100
CommentFileRelation/\org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/dom/ASTConverter14Test.java/\Kalyan Prasad Tatavarthi/\Sarika Sinha/\165196/\9e1754f48e07ade358e5c799a1164294fa94f100
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/preferences/formatter/FormatterMessages.properties/\Rory Hunter/\Mateusz Matela/\163683/\a62227fef5ede25090d52defd0a25437586dbb84
CommentFileRelation/\org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/dom/LinkedNodeFinder.java/\Kalyan Prasad Tatavarthi/\Carsten Hammer/\158030/\7ace3456976cb4d31ea34b44af5574fe3ce4abd4
CommentFileRelation/\org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/dom/LinkedNodeFinder.java/\Kalyan Prasad Tatavarthi/\Andrey Loskutov/\158030/\7ace3456976cb4d31ea34b44af5574fe3ce4abd4
CommentFileRelation/\org.eclipse.jdt.ui.tests/ui/org/eclipse/jdt/ui/tests/jarexport/FatJarExportTests.java/\Carsten Hammer/\Carsten Hammer/\163136/\d7e105099e5a62d80768a33ede06a9b186606c14
CommentFileRelation/\org.eclipse.jdt.ui/core extension/org/eclipse/jdt/internal/corext/dom/LinkedNodeFinder.java/\Noopur Gupta/\Carsten Hammer/\120425/\02939fd8fa3ed56f2a6305da596d65953b43c222
CommentFileRelation/\org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/formatter/FormatterRegressionTests.java/\Rory Hunter/\Mateusz Matela/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/formatter/FormatterRegressionTests.java/\Rory Hunter/\Rory Hunter/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/formatter/FormatterRegressionTests.java/\Rory Hunter/\Mateusz Matela/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/formatter/FormatterRegressionTests.java/\Rory Hunter/\Rory Hunter/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/formatter/FormatterRegressionTests.java/\Rory Hunter/\Mateusz Matela/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/formatter/FormatterRegressionTests.java/\Rory Hunter/\Rory Hunter/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/formatter/FormatterRegressionTests.java/\Rory Hunter/\Mateusz Matela/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/formatter/FormatterRegressionTests.java/\Rory Hunter/\Rory Hunter/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java/\Rory Hunter/\Mateusz Matela/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java/\Rory Hunter/\Rory Hunter/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java/\Rory Hunter/\Mateusz Matela/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java/\Rory Hunter/\Rory Hunter/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/DefaultCodeFormatterOptions.java/\Rory Hunter/\Mateusz Matela/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/DefaultCodeFormatterOptions.java/\Rory Hunter/\Rory Hunter/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/DefaultCodeFormatterOptions.java/\Rory Hunter/\Mateusz Matela/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/DefaultCodeFormatterOptions.java/\Rory Hunter/\Rory Hunter/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/DefaultCodeFormatterOptions.java/\Rory Hunter/\Mateusz Matela/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/DefaultCodeFormatterOptions.java/\Rory Hunter/\Rory Hunter/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/linewrap/WrapPreparator.java/\Rory Hunter/\Mateusz Matela/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/linewrap/WrapPreparator.java/\Rory Hunter/\Mateusz Matela/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/linewrap/WrapPreparator.java/\Rory Hunter/\Rory Hunter/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/linewrap/WrapPreparator.java/\Rory Hunter/\Mateusz Matela/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/linewrap/WrapPreparator.java/\Rory Hunter/\Rory Hunter/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/linewrap/WrapPreparator.java/\Rory Hunter/\Rory Hunter/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/linewrap/WrapPreparator.java/\Rory Hunter/\Mateusz Matela/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/linewrap/WrapPreparator.java/\Rory Hunter/\Rory Hunter/\161989/\698a54f167067b452e6b87084ae22131e94468eb
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java/\Rory Hunter/\Mateusz Matela/\161989/\9dcb0503451f0a12e49f591977ee3282926e3c7b
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java/\Rory Hunter/\Rory Hunter/\161989/\9dcb0503451f0a12e49f591977ee3282926e3c7b
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/linewrap/WrapPreparator.java/\Rory Hunter/\Mateusz Matela/\161989/\9dcb0503451f0a12e49f591977ee3282926e3c7b
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/linewrap/WrapPreparator.java/\Rory Hunter/\Rory Hunter/\161989/\9dcb0503451f0a12e49f591977ee3282926e3c7b
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/linewrap/WrapPreparator.java/\Rory Hunter/\Mateusz Matela/\161989/\9dcb0503451f0a12e49f591977ee3282926e3c7b
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/linewrap/WrapPreparator.java/\Rory Hunter/\Rory Hunter/\161989/\9dcb0503451f0a12e49f591977ee3282926e3c7b
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java/\Rory Hunter/\Mateusz Matela/\161989/\5fd96d0febbe2133b02eefd8dbba73949bded8d8
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java/\Rory Hunter/\Mateusz Matela/\161989/\922bd2c5191d01a4ff0f77df63c7516253621c77
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/workingsets/DynamicSourcesWorkingSetUpdater.java/\Carsten Hammer/\Carsten Hammer/\165264/\68fe08234f14aae5d66cc67778737bf9434ed449
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/workingsets/DynamicSourcesWorkingSetUpdater.java/\Carsten Hammer/\Carsten Hammer/\165264/\68fe08234f14aae5d66cc67778737bf9434ed449
CommentFileRelation/\org.eclipse.jdt.debug/eval/org/eclipse/jdt/internal/debug/eval/ast/engine/ASTEvaluationEngine.java/\Gayan Perera/\Andrey Loskutov/\165235/\eb87760e74dc9ce5fa7563a1101ab2f5e249c672
CommentFileRelation/\org.eclipse.jdt.debug/eval/org/eclipse/jdt/internal/debug/eval/ast/engine/ASTEvaluationEngine.java/\Gayan Perera/\Gayan Perera/\165235/\eb87760e74dc9ce5fa7563a1101ab2f5e249c672
CommentFileRelation/\org.eclipse.jdt.debug/eval/org/eclipse/jdt/internal/debug/eval/ast/engine/ASTEvaluationEngine.java/\Gayan Perera/\Andrey Loskutov/\165235/\eb87760e74dc9ce5fa7563a1101ab2f5e249c672
CommentFileRelation/\org.eclipse.jdt.debug/eval/org/eclipse/jdt/internal/debug/eval/ast/engine/ASTEvaluationEngine.java/\Gayan Perera/\Gayan Perera/\165235/\eb87760e74dc9ce5fa7563a1101ab2f5e249c672
CommentFileRelation/\org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/rewrite/describing/ASTRewritingRecordDeclarationTest.java/\Sarika Sinha/\Manoj Palat/\164873/\fac1be03bcb8c41b5e3ab3ad763be804fed6a7dd
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Jay Arthanareeswaran/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Jay Arthanareeswaran/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Jay Arthanareeswaran/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Jay Arthanareeswaran/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ClassScope.java/\Jay Arthanareeswaran/\Jay Arthanareeswaran/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/CompilationUnitScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/CompilationUnitScope.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/SourceTypeBinding.java/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/SourceTypeBinding.java/\Jay Arthanareeswaran/\Jay Arthanareeswaran/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/problem/messages.properties/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/problem/messages.properties/\Jay Arthanareeswaran/\Jay Arthanareeswaran/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/problem/messages.properties/\Jay Arthanareeswaran/\Manoj Palat/\164927/\bede67b0fe94114fdb013aef39e8796bfe5361c1
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java/\misterti misterti/\Mateusz Matela/\164615/\5bd17de92185184a2ed1f3a032db4ee857b58326
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/LineBreaksPreparator.java/\misterti misterti/\Mateusz Matela/\164615/\5bd17de92185184a2ed1f3a032db4ee857b58326
CommentFileRelation/\org.eclipse.jdt.compiler.apt.tests/resources/mod_locations/modules/mod.c/def/FooBarAnnotation.java/\Jay Arthanareeswaran/\Jeremy Kuhn/\163931/\cdba19c100f2ccd05d2c517ce0e6592f7bd6c046
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/text/java/hover/BestMatchHover.java/\Fabrice Tiercelin/\Sebastian Zarnekow/\163558/\67b2aa8bf8d21f3d5c9a6ec0286c7b258ef8b686
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/text/java/hover/BestMatchHover.java/\Fabrice Tiercelin/\Carsten Hammer/\163558/\67b2aa8bf8d21f3d5c9a6ec0286c7b258ef8b686
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/typehierarchy/TypeHierarchyViewPart.java/\Fabrice Tiercelin/\Sebastian Zarnekow/\163558/\67b2aa8bf8d21f3d5c9a6ec0286c7b258ef8b686
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/typehierarchy/TypeHierarchyViewPart.java/\Fabrice Tiercelin/\Carsten Hammer/\163558/\67b2aa8bf8d21f3d5c9a6ec0286c7b258ef8b686
CommentFileRelation/\org.eclipse.jdt.compiler.apt/src/org/eclipse/jdt/internal/compiler/apt/util/JrtFileSystem.java/\Jay Arthanareeswaran/\Carsten Hammer/\104858/\c798229d351d6daa2232cff6c15750336659223e
CommentFileRelation/\org.eclipse.jdt.compiler.apt/src/org/eclipse/jdt/internal/compiler/apt/util/JrtFileSystem.java/\Jay Arthanareeswaran/\Jay Arthanareeswaran/\104858/\c798229d351d6daa2232cff6c15750336659223e
