msg63516/\Jarkko Hietaniemi/\ July 16, 2002 17:16
msg280/\M.J.T. Guy/\ August 31, 1999 08:06
msg281/\M.J.T. Guy/\ August 31, 1999 08:10
msg266/\Chris Nandor/\ August 31, 1999 04:34
msg267/\Tom Christiansen/\ August 31, 1999 04:38
msg253/\Johan Vromans/\ August 30, 1999 23:04
msg268/\Tom Christiansen/\ August 31, 1999 04:54
msg299/\Ilya Zakharevich/\ August 31, 1999 13:33
msg306/\Tom Christiansen/\ August 31, 1999 17:19
msg313/\Ilya Zakharevich/\ August 31, 1999 20:15
msg294/\Matthias Neeracher/\ August 31, 1999 12:34
msg270/\Chris Nandor/\ August 31, 1999 05:03
msg234/\James H. Cloos Jr./\ August 30, 1999 14:18
msg289/\Nick Ing-Simmons/\ August 31, 1999 11:19
msg254/\Ilya Zakharevich/\ August 30, 1999 23:13
msg320/\Ilya Zakharevich/\ August 31, 1999 23:35
msg321/\Ilya Zakharevich/\ August 31, 1999 23:56
msg227/\Jeff Okamoto/\ August 30, 1999 13:15
msg228/\Jarkko Hietaniemi/\ August 30, 1999 13:18
msg230/\Chris Nandor/\ August 30, 1999 13:27
msg233/\Dan Sugalski/\ August 30, 1999 13:53
msg231/\William Setzer/\ August 30, 1999 13:48
msg225/\Joshua N Pritikin/\ August 30, 1999 12:50
msg242/\Ask Bjoern Hansen/\ August 30, 1999 15:54
msg218/\Majordomo/\ August 30, 1999 11:37
msg32416/\Chris Nandor/\ March 10, 2001 11:27
msg217/\Larry Wall/\ August 30, 1999 11:35
msg32415/\Chris Nandor/\ March 10, 2001 11:27
msg32458/\Philip Newton/\ March 12, 2001 08:19
msg32465/\Chris Nandor/\ March 12, 2001 10:16
msg32468/\H . Merijn Brand/\ March 12, 2001 10:30
msg32469/\Chris Nandor/\ March 12, 2001 10:37
msg32467/\Philip Newton/\ March 12, 2001 10:23
msg209/\Tim Schmitz/\ August 30, 1999 08:44
msg198/\JVromans/\ August 30, 1999 07:10
msg54486/\Robin Barker/\ March 13, 2002 03:27
msg278/\Andy Dougherty/\ August 31, 1999 07:43
msg222/\Jarkko Hietaniemi/\ August 30, 1999 12:21
msg201/\Joshua N Pritikin/\ August 30, 1999 07:38
msg219/\JVromans/\ August 30, 1999 11:43
msg194/\jarausch/\ August 30, 1999 06:49
msg206/\merlyn/\ August 30, 1999 08:23
msg196/\Dan Sugalski/\ August 30, 1999 07:07
msg199/\jarausch/\ August 30, 1999 07:19
msg200/\Dan Sugalski/\ August 30, 1999 07:31
msg204/\jarausch/\ August 30, 1999 07:52
msg207/\Dan Sugalski/\ August 30, 1999 08:24
msg184/\Randy J. Ray/\ August 29, 1999 20:02
msg175/\Ryan/\ August 29, 1999 19:00
msg197/\Ian Phillipps/\ August 30, 1999 07:07
msg173/\Benjamin Stuhl/\ August 29, 1999 18:53
msg166/\Spider Boardman/\ August 29, 1999 16:06
msg160/\James H. Cloos Jr./\ August 29, 1999 15:47
